,Code,Name,Close,Stocks,Marcap,Assets,Liabilities,Equity,Profit,P/E,PER
698,003030,세아제강지주,113000.0,4141657.0,468007241000.0,2639910549316,1181917984631,1457992564685,83186942266,0.3209942576772421,5.62596999302477
62,151860,KG ETS,14300.0,36000000.0,514800000000.0,2896462479170,1687577045489,1208885433681,90589009203,0.4258468053771298,5.682808593770905
1361,002020,코오롱,33000.0,12626426.0,416672058000.0,3758804927757,2772438199396,986366728361,72873003714,0.42243117698461374,5.717783496825327
944,092870,엑시콘,13450.0,10476127.0,140903908150.0,141300231375,15614503412,125685727963,24502501536,1.121081211316849,5.750592768782349
226,187790,나노,2225.0,27067695.0,60225621375.0,73786588995,36413298180,37373290815,10053503285,1.6114615561450125,5.990510936108975
68,111870,KH 일렉트론,778.0,108313195.0,84267665710.0,172359192696,62776035288,109583157408,13578623484,0.7689837353039084,6.2059063504702445
966,138690,엘아이에스,4525.0,17124591.0,77488774275.0,178788068789,153443891572,25344177217,12210498224,3.057458666404179,6.346078010370955
1060,032940,원익,4420.0,18193230.0,80414076600.0,305590812495,95798135541,209792676954,12483698843,0.3833025907650338,6.4415264747507655
1564,016450,한세예스24홀딩스,7910.0,40000000.0,316400000000.0,2033798257704,1162564304546,871233953158,49045505650,0.3631630733089901,6.45115175808163
1044,037400,우리조명,2860.0,26223346.0,74998769560.0,676339735143,463572381952,212767353191,11550144043,0.35249190458591667,6.4933189820652695
42,012630,HDC,10300.0,59741721.0,615339726300.0,10324680541622,5824617179999,4500063361623,94520049718,0.1367402360481588,6.510150260562308
479,222810,마이더스AI,284.0,145000878.0,41180249352.0,67858871834,28285569383,39573302451,6293542684,1.0406068435402815,6.543254160600526
116,040610,SG&G,2285.0,34087196.0,77889242860.0,352446020180,57474023870,294971996310,11886509189,0.26405639801190656,6.552743250480988
1507,003380,하림지주,9190.0,92341820.0,848621325800.0,10373430828452,6623689513056,3749741315396,128587165636,0.22631463197625393,6.5995803049446415
1066,030530,원익홀딩스,5130.0,77237981.0,396230842530.0,1686540871223,448257365535,1238283505688,59966423145,0.3199839460914494,6.607545051868542
516,009200,무림페이퍼,2755.0,41609310.0,114633649050.0,2224243245808,1576502788563,647740457245,17239602141,0.1769746628727889,6.649437041088848
50,950170,JTC,4820.0,35005517.0,168726591940.0,335418068407,245830434846,89587633560,25364238977,1.8833692244700029,6.6521448600527435
535,018700,바른손,3990.0,29471487.0,117591233130.0,75032721262,17128570317,57904150945,17262432957,2.0307910782025544,6.811973342512892
180,013580,계룡건설,36800.0,8930907.0,328657377600.0,2373469164724,1706461425546,667007739178,46883251911,0.49273397937635227,7.010123321306742
1586,003300,한일홀딩스,13550.0,28815780.0,390453819000.0,3233384092161,1312055295035,1921328797126,54683920183,0.20322071869429967,7.140194369630861
673,035890,서희건설,1800.0,229808457.0,413655222600.0,1384111417706,755096580369,629014837337,57501293799,0.6576239510521764,7.193842003728859
337,084010,대한제강,16500.0,24646734.0,406671111000.0,1014394725961,369672371934,644722354027,56349520299,0.6307693667822928,7.216940070512312
905,096690,에이루트,644.0,150563096.0,96962633824.0,145486979508,71136492335,74350487173,13378539479,1.3041290986888312,7.247624748291853
1317,002380,KCC,315500.0,8886471.0,2803681600500.0,13596381422597,7916968448663,5679412973934,380919064539,0.4936569348571167,7.3603079013467125
1055,016880,웅진,2410.0,79927080.0,192624262800.0,1065340770394,835559148157,229781622237,26155882661,0.8382927273501648,7.3644718970701915
775,036710,심텍홀딩스,3120.0,40663579.0,126870366480.0,834596330052,498365445830,336230884222,17113714032,0.37733109132304604,7.4133742238985665
261,217270,넵튠,25500.0,31753722.0,809719911000.0,491200473473,73643204134,417557269339,109172971597,1.9391828868930958,7.416853266475075
1468,010770,평화홀딩스,4795.0,14625466.0,70129109470.0,552510757088,429972424468,122538332620,9439896839,0.5723034414665598,7.429012272704986
1153,123570,이엠넷,6350.0,22276078.0,141453095300.0,114283083505,29668327119,84614756386,18976631070,1.671730810814037,7.454067836288499
245,042420,네오위즈홀딩스,44950.0,8856866.0,398116126700.0,821165286892,95818009853,725347277039,52768607764,0.5488627851822684,7.544563777019039
555,299910,베스파,10550.0,8206916.0,86582963800.0,40176623303,28306637508,11869985795,11285701835,7.294276951575745,7.671916648682222
661,043710,서울리거,1375.0,39111384.0,53778153000.0,55176070699,21762822540,33413248159,7002810985,1.6094859363594864,7.679509430597604
906,078520,에이블씨엔씨,7670.0,27033459.0,207346630530.0,232989373877,105169103844,127820270033,26966162739,1.6221733100428304,7.689141111283271
1424,079970,투비소프트,1990.0,37515132.0,74655112680.0,51814991075,22747109863,29067881212,9698826823,2.5683025238585455,7.697334331505055
978,123040,엠에스오토텍,5830.0,35654087.0,207863327210.0,1170641956098,888803412970,281838543128,26993933577,0.7375262620329279,7.700371886041409
1514,071090,하이스틸,3135.0,19999440.0,62698244400.0,263509081434,126910582362,136598499072,8128691188,0.45899658360779094,7.713202894527281
990,009970,영원무역홀딩스,47800.0,13635592.0,651781297600.0,3911304060554,1118498048063,2792806012491,83729006868,0.23337865024812582,7.784414529453845
128,006120,SK디스커버리,47800.0,19037855.0,910009469000.0,6349490713031,3379693649497,2969797063534,116804109785,0.3064214320143164,7.79090282589409
215,002990,금호건설,11300.0,36633924.0,413963341200.0,1577028832332,1089710191549,487318640783,52623959258,0.8494715911849047,7.866442339894228
119,016250,SGC이테크건설,69300.0,2024247.0,140280317100.0,613889065417,447697016067,166192049350,17825594256,0.8440856084792001,7.86960115244306
1606,143210,핸즈코퍼레이션,5540.0,21863268.0,121122504720.0,901130323042,610303955657,290826367385,15343967490,0.4164770402666287,7.893819170233396
1592,003480,한진중공업홀딩스,4300.0,29529812.0,126978191600.0,1745660000000,1385586000000,360074000000,15913000000,0.3526447108094447,7.9795256456984855
1585,002220,한일철강,3125.0,26697460.0,83429562500.0,314030289122,147967077227,166063211895,10308300293,0.5023964160873368,8.093435399495885
58,009440,KC그린홀딩스,5060.0,22434980.0,113520998800.0,766924124210,534182071708,232742052502,13949583382,0.4877545659653598,8.137949047745977
1656,298020,효성티앤씨,566000.0,4327682.0,2449468012000.0,3629875957647,2427005456176,1202870501471,299561844601,2.0363522166388868,8.176835789159188
1048,017370,우신시스템,5790.0,18314054.0,106038372660.0,311172592497,218743701444,92428891053,12950778651,1.147242723048534,8.187799013290386
1565,009180,한솔로지스틱스,4835.0,27477425.0,132853349875.0,199053535307,124980678811,74072856496,16219447957,1.7935497044342308,8.19099085414082
614,010140,삼성중공업,5900.0,630000000.0,3717000000000.0,12278244974000,9370300260845,2907944713155,447383404457,1.2782223758192461,8.308309970754083
814,127710,아시아경제,3645.0,25508734.0,92979335430.0,228159129797,98247819620,129911310177,11174739854,0.7157139382500156,8.320492167584378
941,054940,엑사이엔씨,1370.0,33173548.0,45447760760.0,152903536186,93002304282,59901231904,5313015350,0.7587116210370484,8.554042811112902
694,004360,세방,11950.0,19308690.0,230738845500.0,1197833803362,310950511075,886883292287,26879059853,0.26016821774260207,8.58433467397659
1668,005010,휴스틸,13950.0,7837615.0,109334729250.0,685625418582,245735636124,439889782458,12537602699,0.2485502814797457,8.72054505752687
1161,035810,이지홀딩스,4295.0,65145845.0,279801404275.0,2128478068308,1240753716408,887724351900,32023928469,0.3151895108838007,8.737260469022564
788,004920,씨아이테크,973.0,39951719.0,38873022587.0,80497992133,36508008518,43989983615,4412798130,0.8836789512634603,8.809154971927075
80,093050,LF,19100.0,29240000.0,558484000000.0,2427481903880,977749022074,1449732881806,62614613936,0.3852323465990993,8.919387422412933
216,011780,금호석유,171000.0,30467691.0,5209975161000.0,6821024871982,2675731229471,4145293642511,583066823211,1.2568410371633099,8.935468377892281
198,007690,국도화학,61100.0,9010616.0,550548637600.0,1275818675480,641649747051,634168928429,61343860273,0.8681419302012335,8.974796094505313
1042,073560,우리손에프앤지,2315.0,69237643.0,160285143545.0,432373863521,198925254777,233448608744,17674224078,0.6865971247691987,9.068864513521417
1438,104480,티케이케미칼,5640.0,90895434.0,512650247760.0,876950455474,472640216831,404310238643,56006555214,1.2679625662724376,9.15339723718363
368,005960,동부건설,14500.0,22738844.0,329713238000.0,1123866629730,625605446838,498261182892,35831203105,0.66172772297108,9.201846698638784
94,001120,LX인터내셔널,26400.0,38760000.0,1023264000000.0,6405926553223,4427143494067,1978783059156,110987512409,0.5171178291957116,9.21963181073174
1404,003240,태광산업,992000.0,1113400.0,1104492800000.0,4586960997011,875232933314,3711728063697,117723747776,0.29756835119539704,9.382073038496738
1140,139480,이마트,163500.0,27875819.0,4557696406500.0,24010767458851,13210291305043,10800476153808,483028008403,0.4219903216853139,9.435677284157448
1471,058430,포스코강판,56700.0,6000000.0,340200000000.0,568310434265,296770137888,271540296377,36019333576,1.2528527240305967,9.444927660368437
832,078860,아이오케이,1580.0,89148548.0,140854705840.0,179797550731,18276067373,161521483358,14842118547,0.8720493578418069,9.490202183331206
1387,114120,크루셜텍,1440.0,20961315.0,30184293600.0,56781850009,19848961068,36932888941,3162706528,0.8172741008216057,9.543817402206974
519,025560,미래산업,13950.0,4452007.0,62105497650.0,118822230427,46802464259,72019766168,6464868460,0.8623396180588387,9.606614277500706
980,033160,엠케이전자,18700.0,21807689.0,407803784300.0,2030419439443,1079347783816,951071655627,41619905752,0.4287834485311759,9.798287067971158
1297,066360,체리부로,1535.0,46872374.0,71949094090.0,261471413201,219594092616,41877320585,7245947970,1.7180921101187019,9.929562617325832
1145,005950,이수화학,13750.0,27959544.0,384443730000.0,1137918255436,777313320840,360604934596,38675893330,1.0661077903182539,9.9401383368124
1088,014830,유니드,115500.0,8889843.0,1026776866500.0,1223010724814,290585725821,932424998993,102619678978,1.101189766049707,10.00565268499938
1241,025620,제이준코스메틱,1110.0,74422604.0,82609090440.0,87751590129,31614306179,56137283950,8188811376,1.4715548139731474,10.08804411860225
1647,013520,화승코퍼레이션,2475.0,50051252.0,123876848700.0,1218301621755,990513071801,227788549954,12118937756,0.5438238608789419,10.22175797863715
8,001040,CJ,97300.0,29176998.0,2838921905400.0,40254872424000,24001740796000,16253131628000,276093146000,0.17466922500702953,10.282478745053671
364,001230,동국제강,16000.0,95432737.0,1526923792000.0,5875757481287,3484722624001,2391034857286,147864596284,0.6386037356783542,10.326500260192601
622,000070,삼양홀딩스,105500.0,8564271.0,903530590500.0,4209148000000,1896599000000,2312549000000,85849000000,0.3907076522486659,10.524648982515812
126,018670,SK가스,129000.0,9230244.0,1190701476000.0,5027109811154,2995042789831,2032067021323,112913040356,0.5859558092846664,10.54529638247163
1423,108230,톱텍,8330.0,38023245.0,316733630850.0,446078074802,51516415481,394561659321,29960771693,0.8027481215358481,10.571611242042916
429,106520,디지탈옵틱,4540.0,13159500.0,59744130000.0,64186126436,51584932098,12601194338,5649888086,4.741148211629144,10.574391756190973
818,054800,아이디스홀딩스,12750.0,10347756.0,131933889000.0,903235797744,214417510491,688818287253,12287387295,0.19153656550866405,10.73734275908164
1282,219750,지티지웰니스,2785.0,17440788.0,48572594580.0,56042517824,36277711035,19764806789,4476469425,2.457529441018003,10.850648126564609
816,227610,아우딘퓨쳐스,1390.0,22178848.0,30828598720.0,52351882155,31660098321,20691783834,2825385041,1.4898956497575404,10.911291124090013
9,079160,CJ CGV,29900.0,37675221.0,1126489107900.0,3869752074287,3486679026718,383073047569,103227452618,2.9406639674828448,10.912689205541547
697,001430,세아베스틸,20850.0,35862119.0,747725181150.0,3397688210394,1580056355758,1817631854636,68086900899,0.41137328180229316,10.981924148070336
396,000150,두산,133500.0,16523835.0,2205931972500.0,32083757320830,23222443215101,8861314105729,200103804413,0.24893959814310443,11.023938195333425
515,001810,무림SP,3180.0,22137500.0,70397250000.0,301341277594,87818212510,213523065084,6374415584,0.3296938903172157,11.043718294222845
882,214310,에스엘바이오닉스,799.0,42063813.0,33608986587.0,73440749300,25955948989,47484800311,3039675411,0.7077840986353348,11.056768254062769
1636,092300,현우산업,5060.0,15474878.0,78302882680.0,186433416092,119381713991,67051702101,7068777200,1.1677985826825446,11.077288258568965
1484,103140,풍산,32100.0,28024278.0,899579323800.0,2883956444404,1322391688223,1561564756181,80768375064,0.5760755807527526,11.137766769322559
1652,004800,효성,99200.0,21071025.0,2090245680000.0,4663341104518,1976330498822,2687010605696,187434224859,0.7779074915331703,11.151889051065334
124,034730,SK,247500.0,70360297.0,17414173507500.0,151891719000000,93705976000000,58185743000000,1552133000000,0.2992859179868168,11.219511154971899
1351,082660,코스나인,1355.0,47952433.0,64975546715.0,58787527476,38815487476,19972040000,5782281037,3.253325484777719,11.237009460320357
1498,043370,피에이치에이,11700.0,21000000.0,245700000000.0,932419494778,306542281714,625877213064,21808286919,0.39256901333277266,11.266359476678527
256,065170,넥스트BT,1560.0,88970559.0,138794072040.0,129227836217,62039591427,67188244790,12314853840,2.0657493356733365,11.270460359763392
304,084690,대상홀딩스,9800.0,36212538.0,354882872400.0,3368832821538,1983626751723,1385206069815,31440448647,0.2561950024138979,11.287462096501043
621,002170,삼양통상,63400.0,3000000.0,190200000000.0,453744213685,53586231518,400157982167,16730905362,0.4753122728428365,11.36818336394341
658,200880,서연이화,7560.0,27028437.0,204334983720.0,1804613980927,1139500002884,665113978043,17941450820,0.3072179964120219,11.38898887107949
486,093520,매커스,7650.0,16163092.0,123647653800.0,147715510045,77381057295,70334452750,10802951152,1.7579955337037865,11.445729232711429
682,037350,성도이엔지,5320.0,15470000.0,82300400000.0,396574857361,158399098177,238175759184,7154377058,0.34554482069025233,11.503503286561054
536,035620,바른손이앤에이,1485.0,73488503.0,109130426955.0,112431277407,23702046839,88729230568,9476280263,1.2299264431394454,11.516167095764166
1038,118000,우리들휴브레인,1485.0,81323413.0,120765268305.0,154226681927,68477486794,85749195133,10435657752,1.4083545404442437,11.572367662388627
1308,050110,캠시스,1830.0,73824118.0,135098135940.0,316402884524,196165426474,120237458050,11546721263,1.1235944116834229,11.700129661300892
1604,076610,해성옵틱스,998.0,81619749.0,81456509502.0,107709770231,88849412566,18860357665,6940710117,4.318927082340673,11.736048347918635
860,052790,액토즈소프트,12050.0,11330638.0,136534187900.0,281217112487,105315033084,175902079403,11594401524,0.776194280155118,11.77587196867204
644,038540,상상인,8740.0,55328313.0,483569455620.0,4337432628490,3588148610191,749284018299,40715261610,0.6453753767733943,11.876859843170735
1535,006200,한국전자홀딩스,1530.0,46803136.0,71608798080.0,431564772111,204488291909,227076480202,5935181598,0.31535101308730473,12.06514019792255
979,323230,엠에프엠코리아,1650.0,20271660.0,33448239000.0,93886758949,65643255000,28243503949,2765121174,1.1842807840131422,12.096482177529339
1495,031980,피에스케이홀딩스,11000.0,21562395.0,237186345000.0,275712091878,42828858702,232883233176,19441752886,1.0184775510255302,12.199843624738067
1202,020760,일진디스플,3250.0,34468286.0,112021929500.0,134388496172,98640608822,35747887350,9175952518,3.1336657297595516,12.208207189417369
1610,267270,현대건설기계,40700.0,19700793.0,801822275100.0,3712305110000,1977220672000,1735084438000,65543342000,0.4621229131789378,12.233466445760426
533,155900,바다로19호,3075.0,15200004.0,46740012300.0,41048460573,1476614154,39571846419,3806817328,1.1811430734138875,12.277976134083627
91,000680,LS네트웍스,3260.0,78803016.0,256897832160.0,1232314106118,700618764061,531695342057,20869808211,0.4831673551363545,12.309544465511427
1540,000970,한국주철관,9590.0,22800500.0,218656795000.0,388830435995,81009844078,307820591917,17727772776,0.7103384268033572,12.334137951949572
1622,004560,현대비앤지스틸,15800.0,15078811.0,238245213800.0,719304548765,255941454178,463363094587,19274720473,0.5141652768275606,12.360501628738717
1164,000760,이화산업,16550.0,2800000.0,46340000000.0,276107586529,42200109938,233907476591,3744469020,0.198112521563507,12.375586432278721
509,012860,모베이스전자,2185.0,65803117.0,143779810645.0,686129965328,514712858464,171417106864,11463521028,0.8387716563147513,12.542377712206697
1150,066980,이엔코퍼레이션,4440.0,38580273.0,171296412120.0,204339110194,99540714234,104798395960,13650770206,1.6345327669459875,12.548479648768032
1579,014130,한익스프레스,6190.0,12000000.0,74280000000.0,323078015922,246281015204,76797000718,5884259954,0.9672252731946854,12.623507557565667
412,092200,디아이씨,5130.0,38888569.0,199498358970.0,630344524976,530972687523,99371837453,15732694462,2.007594546738224,12.68049535010413
96,023150,MH에탄올,10150.0,7378526.0,74892038900.0,447789179936,363133976103,84655203833,5890116556,0.884671414266985,12.714865349092422
1663,115160,휴맥스,4760.0,42529028.0,202438173280.0,1052113224624,664935861070,387177363554,15831292126,0.5228564279217366,12.787217345799105
592,093190,빅솔론,5730.0,19238905.0,110238925650.0,206385608278,21676921105,184708687173,8615280834,0.5968258847876988,12.795743722589368
380,060380,동양에스텍,3385.0,19700000.0,66684500000.0,134918120276,69571593843,65346526433,5181957040,1.0204750526161759,12.868593754300981
596,003960,사조대림,26800.0,9164467.0,245607715600.0,1168876340095,679372983539,489503356556,19026320675,0.5017487874404434,12.908839275621007
1148,093230,이아이디,368.0,835583205.0,307494619440.0,300636638693,120330101968,180306536725,23764604549,1.7053991775627346,12.939185198978587
508,101330,모베이스,3625.0,23958188.0,86848431500.0,974796878349,628084984347,346711894002,6688255846,0.2504916416265172,12.985213708883588
90,006260,LS,60200.0,32200000.0,1938440000000.0,12662395000000,8051939000000,4610456000000,149113000000,0.4204443117990932,12.999805516621622
1067,012620,원일특강,12550.0,4400000.0,55220000000.0,258967958432,133259798573,125708159859,4246074262,0.4392714049902351,13.004953892160636
604,023600,삼보판지,14300.0,16170000.0,231231000000.0,636396547875,164005438459,472391109416,17733648199,0.48949058394825107,13.039110588256685
1197,003200,일신방직,114500.0,2400000.0,274800000000.0,1022106868705,262226621806,759880246899,20999807068,0.36163593029484975,13.085834508391589
387,030720,동원수산,9670.0,4653805.0,45002294350.0,102057358496,50828461893,51228896603,3426145539,0.8784552729828781,13.134962843153174
278,040160,누리플렉스,8110.0,12055535.0,97770388850.0,138000376308,61329221526,76671154782,7416678712,1.275191291014094,13.18250292975614
379,084670,동양고속,20750.0,2895569.0,60083056750.0,172894128086,75305953148,97588174938,4517190367,0.6156796844307432,13.300979562192536
1056,095720,웅진씽크빅,3430.0,115505985.0,396185528550.0,757463785803,386294418751,371169367052,29668012145,1.067398238428699,13.353962733117251
527,003650,미창석유,79700.0,1739672.0,138651858400.0,337829205608,49283075783,288546129825,10342609390,0.48051886360108453,13.405887544593812
110,101060,SBS미디어홀딩스,2020.0,139896190.0,282590303800.0,612898067900,60726512027,552171555873,20944123383,0.511779900276131,13.492582078148656
297,000490,대동,9890.0,23728210.0,234671996900.0,1087001477982,712502655017,374498822965,17305649296,0.6266294645255321,13.56042716953947
809,183190,아세아시멘트,133000.0,3895809.0,518142597000.0,1958186170278,1101326940747,856859229531,38194979343,0.6046997909838752,13.56572528412586
1347,036690,코맥스,5530.0,15287331.0,84538940430.0,107208918786,42223166735,64985752051,6190094450,1.300884236342374,13.65713255473832
561,226340,본느,2720.0,30699596.0,83502901120.0,77455980455,50658750154,26797230301,6103848807,3.1161019322539425,13.680368528171508
1513,126700,하이비젼시스템,17500.0,14942112.0,261486960000.0,270512469749,111140185291,159372284458,19092269636,1.6407304500232014,13.695959934849519
1289,100250,진양홀딩스,3400.0,55895292.0,190043992800.0,559592980732,168237326729,391355654003,13848536201,0.48560431120932057,13.723038308285389
1469,005490,POSCO,285000.0,87186835.0,24848247975000.0,83469600711891,32614320071532,50855280640359,1807172023399,0.4886070367150881,13.749796728406874
777,102280,쌍방울,747.0,262592129.0,196156320363.0,447020768405,189015387385,258005381020,14242007957,0.7602799584547982,13.773080379904467
446,084650,랩지노믹스,26700.0,11450097.0,305717589900.0,152717774081,37129336344,115588437737,22188344904,2.6448803693982224,13.778296273233376
741,115570,스타플렉스,4400.0,7984508.0,35131835200.0,120093863563,63092632006,57001231557,2545580280,0.6163346692758546,13.801110684279815
146,071970,STX중공업,5240.0,28365976.0,148637714240.0,447092802835,289734117238,157358685597,10677634283,0.9445790276913303,13.920472484869428
362,005160,동국산업,3780.0,54244482.0,205044141960.0,775212433686,231468243549,543744190137,14721001629,0.3770967040739097,13.92868142586631
857,161000,애경유화,12700.0,32040000.0,406908000000.0,670491316070,234386335941,436104980129,29197586531,0.933050569336852,13.936357361865266
1436,091810,티웨이항공,3870.0,110330279.0,426978179730.0,737219769375,617748750780,119471018595,30489134755,3.5739059125078017,14.00427342924117
17,000590,CS홀딩스,64300.0,1154482.0,74233192600.0,337439317199,32883931804,304555385395,5262408392,0.24374283352015458,14.106315411181413
67,226360,KH E&T,1550.0,60224966.0,93348697300.0,237757202069,111924742154,125832459915,6591268439,0.7418491012816342,14.162478461302431
805,092040,아미코젠,34150.0,19751708.0,674520828200.0,413783428967,167566405021,246217023946,47498274764,2.7395377354083164,14.200954277843252
1517,000140,하이트진로홀딩스,14350.0,23206765.0,333017077750.0,4018021748945,2942385174493,1075636574452,23384087306,0.30959999470049704,14.241183476275891
1385,005740,크라운해태홀딩스,9100.0,14847347.0,135110857700.0,1094992634233,593001028560,501991605673,9411266909,0.2691496355180328,14.356287947884404
109,034120,SBS,51200.0,18252582.0,934532198400.0,1303585867110,645315461105,658270406005,64550405420,1.4196782809538937,14.477557380459904
679,136490,선진,12500.0,23779604.0,297245050000.0,1199590039587,781858042105,417731997482,20526830580,0.7115687852300763,14.48080593063481
