,0,1,2,3,4,5,6,7,8,C/M,Max/Current
358,043200,파루,1160.0,4759.954343700099,2550.290718077091,475.83799285963926,1320.0,1.9320384227856748,0.0048615502091524125,0.5175880501166058,3.606026017954621
75,016250,SGC이테크건설,49350.0,279755.1257348789,182952.80069293588,57119.154299924536,51900.0,3.525102132811867,0.010884463327255211,0.28367972396939617,5.390272172155663
187,046070,코다코,974.0,3840.0,2602.9029354908193,791.6886241114066,1220.0,2.1335269963039503,0.04033807350158787,0.46870745096376376,3.1475409836065573
455,006620,동구바이오제약,10750.0,43850.0,22289.62140992167,6729.725784720203,10750.0,2.073453154411318,0.043197932957452105,0.4822872404290772,4.079069767441861
213,099440,스맥,1082.5093818502783,3853.9137125512157,2668.2304961241857,573.5688454889321,1730.0,1.542329766545772,0.05094317551466666,0.6483697725938449,2.2276957876018586
330,037950,엘컴텍,1225.0,3866.7411892823043,2053.975083117941,419.5677609974002,1375.0,1.4938000604494115,0.05280191306142434,0.6694336320344966,2.8121754103871304
109,038060,루멘스,1001.9306148636795,5307.242113803592,3031.6793954128307,912.4534510235471,1730.0,1.752415835498746,0.07685183149386517,0.5706408146645143,3.0677700079789547
263,086900,메디톡스,104900.0,807677.760613265,409307.3539621342,156333.13065794107,191300.0,2.139609795933791,0.0815825595002545,0.4673749400009498,4.222047886112206
95,026040,제이에스티나,1390.0,16000.0,6483.066884176183,3253.8927416708693,2075.0,3.12436958273551,0.08775567840136095,0.3200645677533643,7.710843373493976
9,102940,코오롱생명과학,11200.0,127177.65928437564,62441.25658291695,31939.800558833493,19700.0,3.169606933142992,0.09041860667245666,0.315496533511301,6.455718745399778
26,016100,리더스코스메틱,2128.0709659937515,33536.22550446592,12974.2866866936,7506.30589122559,3430.0,3.7825908707561515,0.10177496977768385,0.26436906188590703,9.77732521996091
344,234920,자이글,1650.0,13050.0,6844.919499105546,2378.052275616316,3830.0,1.7871852478082364,0.10243282671814752,0.5595390859601026,3.4073107049608353
452,260930,씨티케이코스메틱스,8850.0,46000.0,21035.548705302095,8716.588996950622,10100.0,2.082727594584366,0.104817915544904,0.4801396027979177,4.554455445544554
384,255440,야스,7510.0,31141.713891867053,19424.120110133746,5035.475601674496,13150.0,1.4771194000101708,0.10638520469521212,0.6769933425782062,2.3681911704841867
235,039310,세중,1100.0,5250.0,3434.77537437604,714.7847415622829,2545.0,1.349617042976833,0.10659972460326494,0.740950927675241,2.06286836935167
120,053980,오상자이엘,5350.0,18100.0,9146.965742251223,2068.4650155267555,6620.0,1.3817168794941423,0.11091767800242769,0.7237372683513196,2.7341389728096677
194,040420,정상제이엘에스,5440.0,8450.0,7155.889070146819,604.905714301598,6440.0,1.1111628990911209,0.11831103755414268,0.8999580536912752,1.312111801242236
76,035810,이지홀딩스,2321.64892779867,9869.610688579098,6052.556617276762,1183.9022732627154,4665.0,1.2974397893412137,0.12059460228866026,0.7707486761352977,2.1156721733288526
202,009300,삼아제약,9860.0,31750.0,18257.814029363784,2983.8749141587477,14800.0,1.2336360830651205,0.12326204212013647,0.8106118276918238,2.14527027027027
462,227610,아우딘퓨쳐스,1165.0,13850.0,5417.870213653846,2928.5635966462396,2065.0,2.623665963028497,0.12612828034232343,0.3811460811290551,6.707021791767555
305,014200,광림,1425.0,8018.591061367515,3312.7807871222917,1472.8974486373602,1650.0,2.007745931589268,0.12946616394062027,0.49807098809979,4.859752158404555
400,225190,삼양옵틱스,7497.993599334172,19717.221358011237,13494.952605885595,3112.7454608394705,10000.0,1.3494952605885595,0.13076381550789867,0.741017793248023,1.9717221358011237
376,067080,대화제약,5815.028244071839,46990.12722482294,21074.956436857345,8295.940416381081,11800.0,1.7860132573607919,0.13178104997387646,0.5599062581862966,3.9822141715951647
288,039980,리노스,731.200363350501,4696.588905323143,2122.1835281794397,856.6987972843472,1175.0,1.8061136410037784,0.13444546320543965,0.553675016509057,3.997096940700547
