,0,1,2,3,4,5,6,7,8,C/M,Max/Current
72,012750,에스원,73800.0,115000.0,94058.56443719413,6869.975793761203,82900.0,1.1346027073244165,0.052161134713160424,0.8813657798844564,1.3872135102533172
15,033780,KT&G,63600.0,137000.0,101068.67862969005,13022.007659230008,80100.0,1.2617812563007498,0.0536717220645255,0.7925303970133208,1.710362047440699
24,000810,삼성화재,126000.0,309000.0,251919.65742251225,40622.390892729694,188000.0,1.3399981777793204,0.057800617625820117,0.7462696715433045,1.6436170212765957
67,002380,KCC,107000.0,525659.3987084412,349813.608168265,120415.20661550072,204000.0,1.7147725890601226,0.11296235506216701,0.5831677077064231,2.5767617583747118
42,078930,GS,30300.0,76700.0,51666.55791190865,9891.203631773784,40100.0,1.2884428406959763,0.12112564424793437,0.7761306659594084,1.912718204488778
83,001450,현대해상,17700.0,49200.0,32895.14681892333,7679.464193871681,23950.0,1.3734925602890742,0.12204716079141176,0.7280709258370744,2.0542797494780793
56,005830,DB손해보험,23800.0,74700.0,56145.460122699384,11509.689497860794,44500.0,1.261695733094368,0.15581775310348328,0.7925841181593386,1.6786516853932585
110,170900,동아에스티,66200.0,171213.27370347333,98923.16412361283,15151.684986150422,83900.0,1.1790603590418693,0.16071642250001666,0.8481330004280886,2.0406826424728646
91,051600,한전KPS,24750.0,77300.0,41583.36052202284,12899.945121055527,28900.0,1.4388706062983683,0.16275194254981545,0.694989525550595,2.6747404844290656
68,036460,한국가스공사,16600.0,64500.0,42353.99673735726,9641.162196688038,33100.0,1.2795769407056574,0.16856725719700288,0.7815083002734661,1.948640483383686
73,001040,CJ,53100.0,240748.07209432582,138679.17321137755,46795.109809767026,94000.0,1.4753103533125271,0.16984373449202694,0.6778234815167475,2.5611497031311257
78,002790,아모레G,43550.0,168855.60668450358,99624.18054678483,38540.30094945359,63600.0,1.5664179331255477,0.17496770997259042,0.6383992284898403,2.654962369253201
99,114090,GKL,10900.0,34000.0,21661.500815660685,4785.250539449889,17300.0,1.252109873737612,0.1810300283766248,0.798651956169748,1.9653179190751444
107,004990,롯데지주,20350.0,71273.44888801355,43035.318295140845,11418.776626932486,33200.0,1.2962445269620737,0.1945285583185204,0.7714593806954284,2.1467906291570347
75,023530,롯데쇼핑,58300.0,357335.49716132786,189161.1289331476,69971.44033424438,129500.0,1.460703698325464,0.19692679103687472,0.6846015390707848,2.7593474684272423
16,015760,한국전력,16250.0,63000.0,34733.76835236542,11927.329515854122,24600.0,1.4119418029416837,0.19776654732416277,0.7082444884885261,2.5609756097560976
104,005440,현대그린푸드,5020.0,20050.0,13490.138662316476,3521.7260003545694,10650.0,1.266679686602486,0.2099882167831607,0.7894655693754908,1.8826291079812207
66,138930,BNK금융지주,3650.0,11550.0,7954.873572593801,1770.810872811766,6630.0,1.199830101447029,0.22717778986625708,0.8334513351465109,1.742081447963801
