,0,1,2,3,4,5,6,7,8,C/M
102,000210,DL,61000.0,273824.768985851,193015.92713643916,35270.20905295874,78000.0,2.474563168415887,0.0005551126671680503,0.4041117287946053
1128,000215,DL우,37000.0,127559.50809998132,83799.05301433407,15008.782944638187,39850.0,2.1028620580761372,0.0017045310175493127,0.47554236672798134
2092,038340,UCI,678.2283094956925,4251.703583169371,2722.4081777760753,818.1472292618747,781.0,3.485797922888701,0.008823743522227864,0.2868783624643663
2214,326030,SK바이오팜,104000.0,217000.0,163310.3448275862,22121.934996127537,111500.0,1.4646667697541365,0.00958945953442183,0.6827491554054054
2226,347890,엠투아이,10600.0,23050.0,16254.193548387097,2402.5348818278712,10750.0,1.5120180045011253,0.010981873729872915,0.661367785980789
1135,043200,파루,1403.4900085075724,4321.181357146664,2400.0559164263045,402.6168765070223,1500.0,1.6000372776175364,0.012691791226247463,0.6249854387699048
525,042520,한스바이오메드,11100.0,32101.762370927947,22481.151283544943,4797.184096689216,12100.0,1.85794638706983,0.015231815555627219,0.538228663087045
2216,290520,신도기연,16200.0,26950.0,20969.476744186046,1870.7384364741154,17200.0,1.2191556246619795,0.021954038628175937,0.8202398281000901
659,138690,엘아이에스,4525.0,15438.67017284304,10531.080585591373,2569.4457443775023,5510.0,1.9112668939367283,0.025341781988482266,0.5232131646147294
557,095270,웨이브일렉트로,2750.0,24405.499760192237,13594.214215130833,5444.251781424213,3040.0,4.471780991819353,0.02627516930810043,0.2236245473178122
431,016250,SGC이테크건설,49350.0,274974.5001685234,157244.94132680795,54267.21301308611,52900.0,2.972494164968014,0.027252650708271285,0.3364178176648366
1973,001529,동양3우B,19450.0,49000.0,29138.941655359566,2864.5289881648832,24100.0,1.2090847159900235,0.03928178276371321,0.827071905529117
1966,000325,노루홀딩스우,10000.0,22700.0,18163.23328785812,1378.5890254049273,15750.0,1.1532211611338488,0.04001521176705484,0.8671363600515261
1496,096300,베트남개발1,227.0,501.74545534361505,342.45091728460073,65.01000763416978,229.0,1.4954188527711822,0.04048111772093936,0.6687089694949917
1253,033340,좋은사람들,1030.0,4572.479097633288,2281.377671984644,702.2042767644523,1075.0,2.122211787892692,0.04289951232261686,0.4712065052625955
243,009410,태영건설,9330.0,42423.605812145055,23392.899724025167,6464.153625497713,12350.0,1.8941619209736977,0.0437876763295522,0.5279379703114019
410,006620,동구바이오제약,10900.0,43850.0,21950.949796472185,6167.58535822641,11700.0,1.8761495552540328,0.04824951297870534,0.5330065490779059
1109,004450,삼화왕관,32100.0,53900.0,44043.35142469471,3829.225149721128,37750.0,1.166711296018403,0.050139225738798684,0.8571100694856276
821,014100,메디앙스,4195.0,15950.0,10106.925403225807,2084.175023302365,6700.0,1.5084963288396727,0.05105977559047992,0.6629117889661652
2229,332570,와이팜,10050.0,18800.0,13864.052287581699,1741.5534648503424,11050.0,1.254665365392009,0.05306566384193022,0.7970252687158212
1460,101400,엔시트론,628.8558714975323,3494.9500933694108,1750.8994317971676,591.3249010470284,801.0,2.185891924840409,0.05409393321547485,0.4574791592557851
1441,084670,동양고속,20856.50638959044,31400.0,26551.95590394041,1632.4071267438303,23950.0,1.1086411650914576,0.05547495059275873,0.9020051135459188
1793,115610,이미지스,1175.0,4935.0,3265.6784260515606,682.1766840366002,2185.0,1.4945896686734832,0.056578421492044444,0.6690799628553206
1763,155900,바다로19호,2235.0,3015.0,2751.607869742198,203.83607035872564,2430.0,1.132348917589382,0.057308421272750404,0.8831200211052129
2082,228760,지노믹트리,11600.0,38550.0,19785.205184881957,4778.79327799659,12300.0,1.6085532670635738,0.05863476251024697,0.6216766460121694
934,049520,유아이엘,3485.0,6750.0,4790.915875169607,760.7645135567973,3600.0,1.3308099653248908,0.058742247850213106,0.7514220858391828
1642,044180,KD,811.0,3508.4106719611555,2252.3589863421903,757.4970684021437,1070.0,2.105008398450645,0.05927650672333294,0.47505748705612416
2186,062970,피피아이,3800.0,13400.0,8239.53488372093,1833.3671526126648,5420.0,1.5202093881403929,0.062036564354483154,0.6578041208015807
1017,014990,인디에프,926.0,4300.0,2271.7679782903665,619.2388048656817,1330.0,1.708096224278471,0.06414901711039048,0.5854471111089875
2276,317690,퀀타매트릭스,15000.0,30859.825587227882,21596.677712845645,3579.4045895254526,16200.0,1.3331282538793607,0.0658153260792411,0.7501153749386317
2274,352770,클리노믹스,12450.0,22350.0,16564.531201072255,2443.945292518873,12900.0,1.2840721861296323,0.06688072311904505,0.7787724170041683
1882,153360,하이골드3호,1170.0,1905.0,1602.4694708276797,239.55023402987632,1245.0,1.2871240729539597,0.06781646270166887,0.7769258776312001
1841,172580,하이골드12호,1920.0,2950.0,2544.8575305291724,329.27613304707785,2055.0,1.2383734941747797,0.06841764705592776,0.8075108234340677
1959,009275,신원우,25650.0,86900.0,50337.109905020356,10292.191963482619,35050.0,1.4361514951503669,0.06873067861979575,0.696305371248664
788,060560,홈센타홀딩스,896.0,2333.3290933630046,1392.458350215883,310.0984795720568,933.0,1.4924526797597888,0.06921632117103581,0.6700379942102759
1267,069410,엔텔스,4890.0,18650.0,11301.031207598371,2313.414630018462,7900.0,1.4305102794428317,0.07076263303813293,0.699051250711382
1517,136510,쎄미시스코,3280.605369692031,13170.313527960709,8128.380476863981,1536.6226844087917,5890.0,1.3800306412332735,0.07260120327894547,0.7246215918121524
2194,294140,레몬,7560.0,19700.0,13454.710424710425,3043.074774383272,9030.0,1.4900011544529819,0.07296952241606779,0.6711404195972761
