,0,1,2,3,4,5,6,7,8
73,012750,에스원,73800.0,115000.0,94025.36704730832,6908.673110726877,81800.0,1.1494543648815199,0.03839956450892782
24,000810,삼성화재,126000.0,309000.0,251468.59706362154,40730.94437128977,184000.0,1.3666771579544648,0.0488157978920019
333,019680,대교,3075.0,11000.0,6802.190048939641,1715.6491827112065,4000.0,1.7005475122349103,0.05120171850345251
440,007980,태평양물산,1129.8912860872513,4659.285769159349,2939.1351011786655,677.965886864761,1860.0,1.5801801619240137,0.055723279113888434
304,115450,지트리비앤티,11850.0,47158.65882994249,23083.710136857615,7072.493318480808,11850.0,1.947992416612457,0.056101765163905325
15,033780,KT&G,63600.0,137000.0,100960.5220228385,13076.604728960565,80300.0,1.2572916814799315,0.057057929373476264
300,003920,남양유업,255000.0,944000.0,576877.6508972268,174377.60375675137,301500.0,1.9133587094435383,0.05714474057666435
157,000150,두산,26050.0,177326.55645617377,107671.7032776379,39168.602072308095,47700.0,2.2572684125290965,0.06287026860673936
318,002960,한국쉘석유,206000.0,501000.0,348681.48450244695,69572.77422986201,248000.0,1.4059737278324473,0.07392897921921447
469,007660,이수페타시스,1785.0,7070.0,4502.345024469821,813.4693065492226,3335.0,1.3500284930943989,0.07564064665591504
370,014620,성광벤드,4095.0,14150.0,9786.778140293638,1824.5274084560851,7170.0,1.3649620837229621,0.0757543985404454
349,071320,지역난방공사,26000.0,87400.0,58650.61174551387,14685.81731595851,37600.0,1.5598566953594113,0.07587215645655039
623,026040,제이에스티나,1390.0,14850.0,6173.917306052856,2911.0748391728257,2050.0,3.0116669785623684,0.078295498167481
537,078520,에이블씨엔씨,5790.0,21617.331544587025,12290.997439487648,3399.398864543153,7520.0,1.6344411488680384,0.08023647613931212
419,000850,화천기공,23950.0,62900.0,45178.1810766721,9273.250925626538,32250.0,1.400873831834794,0.0816381376800921
492,001130,대한제분,91500.0,240500.0,172052.2022838499,20186.106740777635,144000.0,1.1948069603045133,0.08231323498832832
589,225190,삼양옵틱스,7497.993599334172,19717.221358011237,13506.531682778163,3111.0031247505754,9230.0,1.4633295430962256,0.08462042652911517
428,004970,신라교역,6850.0,17800.0,13456.769983686787,2377.6596637965713,10200.0,1.3192911748712537,0.0853844041592276
231,086900,메디톡스,104900.0,807677.760613265,409819.29287960724,155972.19457056365,200000.0,2.049096464398036,0.08927463937154922
354,035000,지투알,3400.0,11600.0,7752.304241435563,1686.8243598048302,5500.0,1.4095098620791933,0.09089998266935201
236,009970,영원무역홀딩스,27400.0,72000.0,52770.880913539964,9338.526320335706,40550.0,1.3013780743166452,0.09532613321818695
42,078930,GS,30300.0,76700.0,51603.83360522023,9922.08367608071,38650.0,1.335157402463654,0.095851834730385
283,017940,E1,22400.0,74000.0,55156.76998368678,9702.233439870595,42500.0,1.297806352557336,0.0960279544319082
172,000815,삼성화재우,86100.0,206500.0,170965.98694942903,21957.04473731755,142500.0,1.1997613119258177,0.09741200174894055
295,005500,삼진제약,16650.0,58200.0,33365.008156606855,7406.966596603412,24200.0,1.378719345314333,0.1079786355253124
84,001450,현대해상,17700.0,49200.0,32855.13866231648,7700.745928694705,23550.0,1.3951226608202327,0.11345777174088129
562,005800,신영와코루,64300.0,189000.0,130633.4693877551,28282.238065542097,96500.0,1.3537147086814,0.11373780561326291
475,004150,한솔홀딩스,2414.861847141359,9075.360981639535,5481.137719681366,1521.210142258054,3655.0,1.4996272830865571,0.11498218194354942
67,002380,KCC,107000.0,525659.3987084412,348632.7548227332,120437.70722162181,204500.0,1.70480564705493,0.11570374007843759
327,029530,신도리코,19500.0,73100.0,45821.044045677,12984.324522948511,30300.0,1.5122456780751485,0.11597167118006352
239,002270,롯데푸드,211500.0,1128825.561239365,620649.2240194625,214755.31305925865,368500.0,1.6842584098221505,0.12017281433162547
491,005810,풍산홀딩스,15543.0869247866,45236.7808319455,30573.907305039702,7098.724249918857,22250.0,1.3741081934849304,0.12047972841915616
381,002795,아모레G우,16100.0,85600.0,43541.63947797716,18743.24742199608,21700.0,2.00652716488374,0.12194735114501776
342,053210,스카이라이프,4760.0,18500.0,12421.504893964111,3284.712809919537,8640.0,1.4376741775421424,0.12481599801545645
519,015360,예스코홀딩스,26300.0,42800.0,37720.95639943741,3285.715509284921,33950.0,1.111073826198451,0.12554994157638538
414,033920,무학,3660.0,35544.0350877193,15314.78814286941,7353.281693150292,6900.0,2.219534513459335,0.1262375596149783
396,096760,JW홀딩스,3592.47117473804,15198.91349918533,7062.853276279029,1814.5871512029537,5020.0,1.4069428837209221,0.13012613484601965
362,023160,태광,5670.0,15200.0,9865.032626427406,2079.8060837187254,7530.0,1.3100972943462692,0.1307789570356408
369,101060,SBS미디어홀딩스,1575.0,3500.0,2466.146003262643,482.87080696255197,1930.0,1.2777958566127683,0.13342839823400943
582,090470,제이스텍,5230.0,28450.0,12878.083197389886,5246.128632524265,7120.0,1.8087195501952087,0.13619241061029458
261,006840,AK홀딩스,12000.0,86900.0,50574.021207177815,19681.987208352566,29000.0,1.7439317657647522,0.1365108930399599
559,078000,텔코웨어,10450.0,20300.0,13058.972267536705,1493.2450090957834,11450.0,1.1405215954180528,0.14062836022916592
224,213500,한솔제지,8410.0,21750.0,16029.299375276034,2127.2711426047476,13750.0,1.1657672272928026,0.14197990413666856
68,036460,한국가스공사,16600.0,64500.0,42327.610114192496,9659.00649378851,32050.0,1.3206742625333072,0.14365433198028282
249,005610,SPC삼립,40650.0,223500.0,118041.43932267168,42937.05398151925,72400.0,1.6304066204788905,0.1438944033172624
