,Code,Name,IP
334,138250,엔에스쇼핑,0.08695652173913043
362,016580,환인제약,0.13043478260869565
489,005389,현대차3우B,0.13043478260869565
598,003547,대신증권2우B,0.13043478260869565
657,03473K,SK우,0.13043478260869565
737,357250,미래에셋맵스리츠,0.13043478260869565
566,123690,한국화장품,0.17391304347826086
118,005385,현대차우,0.17391304347826086
721,152550,한국ANKOR유전,0.17391304347826086
80,005387,현대차2우B,0.17391304347826086
599,000230,일동홀딩스,0.17391304347826086
538,004970,신라교역,0.21739130434782608
862,002025,코오롱우,0.21739130434782608
791,005257,녹십자홀딩스2우,0.21739130434782608
517,071970,STX중공업,0.21739130434782608
396,072710,농심홀딩스,0.21739130434782608
527,003120,일성신약,0.21739130434782608
856,001795,대한제당우,0.21739130434782608
855,001685,대상우,0.21739130434782608
847,36328K,티와이홀딩스우,0.21739130434782608
477,005680,삼영전자,0.21739130434782608
93,081660,휠라홀딩스,0.21739130434782608
629,067830,세이브존I&C,0.21739130434782608
405,011785,금호석유우,0.21739130434782608
107,001040,CJ,0.21739130434782608
660,004270,남성,0.21739130434782608
298,093050,LF,0.21739130434782608
416,077970,STX엔진,0.21739130434782608
806,140910,에이리츠,0.21739130434782608
583,011810,STX,0.21739130434782608
310,001630,종근당홀딩스,0.21739130434782608
147,950210,프레스티지바이오파마,0.21739130434782608
787,009810,엔케이물산,0.2608695652173913
262,017390,서울가스,0.2608695652173913
295,026890,디피씨,0.2608695652173913
775,008110,대동전자,0.2608695652173913
487,002210,동성제약,0.2608695652173913
268,037560,LG헬로비전,0.2608695652173913
750,001080,만호제강,0.2608695652173913
440,002810,삼영무역,0.2608695652173913
463,044450,KSS해운,0.2608695652173913
761,024070,WISCOM,0.2608695652173913
261,007570,일양약품,0.2608695652173913
762,145270,케이탑리츠,0.2608695652173913
444,234080,JW생명과학,0.2608695652173913
450,092230,KPX홀딩스,0.2608695652173913
186,003850,보령제약,0.2608695652173913
7,005380,현대차,0.2608695652173913
110,285130,SK케미칼,0.2608695652173913
633,020760,일진디스플,0.2608695652173913
606,006740,영풍제지,0.2608695652173913
604,100840,SNT에너지,0.2608695652173913
655,016740,두올,0.2608695652173913
361,058650,세아홀딩스,0.2608695652173913
580,012170,아센디오,0.2608695652173913
658,015590,큐로,0.2608695652173913
577,002630,오리엔트바이오,0.2608695652173913
574,100220,비상교육,0.2608695652173913
213,064960,SNT모티브,0.2608695652173913
669,002360,SH에너지화학,0.2608695652173913
562,000320,노루홀딩스,0.2608695652173913
690,009320,대우부품,0.2608695652173913
235,033270,유나이티드제약,0.2608695652173913
696,009180,한솔로지스틱스,0.2608695652173913
236,010050,우리종금,0.2608695652173913
698,002870,신풍제지,0.2608695652173913
701,002600,조흥,0.2608695652173913
702,013700,까뮤이앤씨,0.2608695652173913
705,011330,유니켐,0.2608695652173913
533,003555,LG우,0.2608695652173913
711,035000,지투알,0.2608695652173913
532,003830,대한화섬,0.2608695652173913
525,015360,예스코홀딩스,0.2608695652173913
514,096775,SK이노베이션우,0.2608695652173913
508,009470,삼화전기,0.2608695652173913
434,001790,대한제당,0.2608695652173913
88,006280,녹십자,0.2608695652173913
843,204210,모두투어리츠,0.2608695652173913
870,007575,일양약품우,0.2608695652173913
323,002310,아세아제지,0.2608695652173913
54,011780,금호석유,0.2608695652173913
350,006060,화승인더,0.2608695652173913
857,38380K,LX홀딩스1우,0.2608695652173913
868,001515,SK증권우,0.2608695652173913
378,003300,한일홀딩스,0.2608695652173913
344,094800,맵스리얼티1,0.2608695652173913
891,004565,현대비앤지스틸우,0.2608695652173913
370,002620,제일파마홀딩스,0.2608695652173913
329,001510,SK증권,0.2608695652173913
45,009830,한화솔루션,0.2608695652173913
43,018880,한온시스템,0.2608695652173913
790,000105,유한양행우,0.2608695652173913
371,009680,모토닉,0.2608695652173913
331,093230,이아이디,0.2608695652173913
47,316140,우리금융지주,0.2608695652173913
871,006345,대원전선우,0.2608695652173913
878,005725,넥센우,0.2608695652173913
367,317400,자이에스앤디,0.2608695652173913
876,000325,노루홀딩스우,0.2608695652173913
364,357120,코람코에너지리츠,0.2608695652173913
417,000390,삼화페인트,0.2608695652173913
795,025620,제이준코스메틱,0.2608695652173913
381,088260,이리츠코크렙,0.2608695652173913
69,088980,맥쿼리인프라,0.2608695652173913
353,075580,세진중공업,0.2608695652173913
872,090355,노루페인트우,0.2608695652173913
817,00499K,롯데지주우,0.2608695652173913
404,000480,조선내화,0.2608695652173913
336,058430,포스코강판,0.2608695652173913
357,000680,LS네트웍스,0.2608695652173913
901,001527,동양2우B,0.2608695652173913
813,009835,한화솔루션우,0.2608695652173913
846,010145,삼성중공우,0.29411764705882354
220,003540,대신증권,0.30434782608695654
554,004150,한솔홀딩스,0.30434782608695654
376,000140,하이트진로홀딩스,0.30434782608695654
222,105630,한세실업,0.30434782608695654
428,013580,계룡건설,0.30434782608695654
192,001430,세아베스틸,0.30434782608695654
572,023810,인팩,0.30434782608695654
374,293480,하나제약,0.30434782608695654
579,002450,삼익악기,0.30434782608695654
191,014820,동원시스템즈,0.30434782608695654
351,007460,에이프로젠 MED,0.30434782608695654
185,023590,다우기술,0.30434782608695654
609,001380,SG글로벌,0.30434782608695654
615,003350,한국화장품제조,0.30434782608695654
617,28513K,SK케미칼우,0.30434782608695654
173,031430,신세계인터내셔날,0.30434782608695654
622,168490,한국패러랠,0.30434782608695654
623,120030,조선선재,0.30434782608695654
168,185750,종근당,0.30434782608695654
343,068290,삼성출판사,0.30434782608695654
224,006040,동원산업,0.30434782608695654
