,Code,Name,Close,Stocks,Marcap,Assets,Liabilities,Equity,Profit,P/E
339,001130,대한제분,161500.0,1690000.0,272935000000.0,1252707886555,376411098554,876296788001,77600836657,0.31146411094649423
20,000210,DL,63900.0,20955884.0,1339080987600.0,7477304686087,3214229340111,4263075345976,450161200687,0.31411149907636154
1161,035810,이지홀딩스,4295.0,65145845.0,279801404275.0,2128478068308,1240753716408,887724351900,32023928469,0.3151895108838007
1535,006200,한국전자홀딩스,1530.0,46803136.0,71608798080.0,431564772111,204488291909,227076480202,5935181598,0.31535101308730473
1066,030530,원익홀딩스,5130.0,77237981.0,396230842530.0,1686540871223,448257365535,1238283505688,59966423145,0.3199839460914494
698,003030,세아제강지주,113000.0,4141657.0,468007241000.0,2639910549316,1181917984631,1457992564685,83186942266,0.3209942576772421
1630,004020,현대제철,42000.0,133445785.0,5604722970000.0,35509596510935,18104723778265,17404872732670,352518617860,0.32202033626362553
689,000180,성창기업지주,2525.0,69751600.0,176122790000.0,725921436720,180589915256,545331521464,5180207110,0.322964624394313
764,005800,신영와코루,117000.0,900000.0,105300000000.0,382777398824,62723636978,320053761846,2194404763,0.32900722488825834
515,001810,무림SP,3180.0,22137500.0,70397250000.0,301341277594,87818212510,213523065084,6374415584,0.3296938903172157
991,000670,영풍,684000.0,1842040.0,1259955360000.0,5089293568067,1270093041782,3819200526285,50542245825,0.32990028968852797
1573,004960,한신공영,18350.0,11570702.0,212322381700.0,1886912382588,1254253350212,632659032376,5639140540,0.3356031777537528
147,002820,SUN&L,5620.0,12607989.0,70856898180.0,566134099879,356544271230,209589828649,2124821519,0.3380741261956181
1485,005810,풍산홀딩스,27700.0,10409528.0,288343925600.0,1040292666631,189569690017,850722976614,116398845932,0.3389398588335422
1548,010100,한국프랜지,2825.0,30450420.0,86022436500.0,680870339747,429637221294,251233118453,3993728704,0.34240086271146947
35,078930,GS,42150.0,92915378.0,3916383182700.0,27610878000000,16183634000000,11427244000000,205772000000,0.3427233358017034
682,037350,성도이엔지,5320.0,15470000.0,82300400000.0,396574857361,158399098177,238175759184,7154377058,0.34554482069025233
1399,065130,탑엔지니어링,7460.0,15976257.0,119182877220.0,585193634666,241330301443,343863333223,3003129333,0.34659955192927855
669,122690,서진오토모티브,2805.0,19541246.0,54813195030.0,856376798861,699149682693,157227116168,929569040,0.34862431090723
1057,005820,원림,20100.0,2297970.0,46189197000.0,169793238856,37763922641,132029316215,1140539616,0.3498404621348209
1044,037400,우리조명,2860.0,26223346.0,74998769560.0,676339735143,463572381952,212767353191,11550144043,0.35249190458591667
1592,003480,한진중공업홀딩스,4300.0,29529812.0,126978191600.0,1745660000000,1385586000000,360074000000,15913000000,0.3526447108094447
553,019010,베뉴지,2190.0,48200000.0,105558000000.0,598688534745,301293127427,297395407318,1503216264,0.35494159426318433
1197,003200,일신방직,114500.0,2400000.0,274800000000.0,1022106868705,262226621806,759880246899,20999807068,0.36163593029484975
274,072710,농심홀딩스,77900.0,4637790.0,361283841000.0,1312318777357,315431678497,996887098860,11101418245,0.36241199370836447
1564,016450,한세예스24홀딩스,7910.0,40000000.0,316400000000.0,2033798257704,1162564304546,871233953158,49045505650,0.3631630733089901
688,015750,성우하이텍,5990.0,80000000.0,479200000000.0,3431214680750,2118074126557,1313140554193,4902359261,0.36492666262561346
173,267290,경동도시가스,23100.0,5895406.0,136183878600.0,633947187251,264566782689,369380404562,3511825971,0.3686819249696872
4,027410,BGF,6060.0,95716791.0,580043753460.0,1674337781398,121646081659,1552691699739,4368306885,0.37357303678347903
362,005160,동국산업,3780.0,54244482.0,205044141960.0,775212433686,231468243549,543744190137,14721001629,0.3770967040739097
775,036710,심텍홀딩스,3120.0,40663579.0,126870366480.0,834596330052,498365445830,336230884222,17113714032,0.37733109132304604
239,003920,남양유업,439500.0,720000.0,316440000000.0,965136938377,129722572458,835414365919,16228989369,0.37878209055203316
755,004970,신라교역,12450.0,16000000.0,199200000000.0,637108587844,113543635246,523564952598,4130598236,0.380468553159532
1105,024800,유성티엔에스,3610.0,31278618.0,112915810980.0,500123027047,203647378143,296475648904,4349635598,0.3808603215725235
185,002240,고려제강,25600.0,23000000.0,588800000000.0,2343654540862,802202987914,1541451552948,31137733054,0.38197762289312953
1060,032940,원익,4420.0,18193230.0,80414076600.0,305590812495,95798135541,209792676954,12483698843,0.3833025907650338
754,029530,신도리코,32950.0,10080029.0,332136955550.0,948906970899,84423974008,864482996891,2064791835,0.3842029938639477
318,005710,대원산업,6560.0,20037600.0,131446656000.0,523529411212,182101568035,341427843177,2161923690,0.38499102702604304
80,093050,LF,19100.0,29240000.0,558484000000.0,2427481903880,977749022074,1449732881806,62614613936,0.3852323465990993
1528,002200,한국수출포장,25250.0,4000000.0,101000000000.0,321607658942,62269429474,259338229468,5849954539,0.38945280149089045
622,000070,삼양홀딩스,105500.0,8564271.0,903530590500.0,4209148000000,1896599000000,2312549000000,85849000000,0.3907076522486659
1498,043370,피에이치에이,11700.0,21000000.0,245700000000.0,932419494778,306542281714,625877213064,21808286919,0.39256901333277266
888,123700,SJM,4670.0,15604898.0,72874873660.0,233063170200,47684981110,185378189090,2040707351,0.39311460543300314
1643,002460,화성산업,12650.0,12450800.0,157502620000.0,707738723696,310057806047,397680917649,5408263961,0.3960527473410593
1316,029460,케이씨,23050.0,13554044.0,312420714200.0,1003161938163,227076082025,776085856138,15956802822,0.4025594742245203
1106,000700,유수홀딩스,5850.0,26041812.0,152344600200.0,467571468437,90351113822,377220354615,5176577307,0.4038610280070557
1612,005440,현대그린푸드,9420.0,97704482.0,920376220440.0,3250661019000,975310353000,2275350666000,25053071000,0.40449862704371387
315,007680,대원,9650.0,13446474.0,129758474100.0,557754481622,240043139583,317711342039,8230261657,0.4084162474881736
998,015360,예스코홀딩스,37100.0,6000000.0,222600000000.0,1453853926000,912322026000,541531900000,4784537000,0.4110561169157348
1108,049520,유아이엘,2645.0,21784936.0,57621155720.0,188806473038,48642898841,140163574197,12236511541,0.4110993605158315
697,001430,세아베스틸,20850.0,35862119.0,747725181150.0,3397688210394,1580056355758,1817631854636,68086900899,0.41137328180229316
653,007540,샘표,43750.0,2875800.0,125816250000.0,411847131625,107751829171,304095302454,1876759777,0.41373953817991654
384,088910,동우팜투테이블,3050.0,25831764.0,78786880200.0,290542428114,100161747304,190380680810,1092424104,0.41383863039458996
1314,001620,케이비아이동국실업,948.0,87217977.0,82682642196.0,576573105646,377992904396,198580201250,1073546020,0.4163690119938379
1606,143210,핸즈코퍼레이션,5540.0,21863268.0,121122504720.0,901130323042,610303955657,290826367385,15343967490,0.4164770402666287
213,008870,금비,68400.0,1000000.0,68400000000.0,341764192669,178425459304,163338733365,2951020677,0.4187616653494673
90,006260,LS,60200.0,32200000.0,1938440000000.0,12662395000000,8051939000000,4610456000000,149113000000,0.4204443117990932
1140,139480,이마트,163500.0,27875819.0,4557696406500.0,24010767458851,13210291305043,10800476153808,483028008403,0.4219903216853139
1361,002020,코오롱,33000.0,12626426.0,416672058000.0,3758804927757,2772438199396,986366728361,72873003714,0.42243117698461374
699,019440,세아특수강,15950.0,8570000.0,136691500000.0,589476744273,266900098542,322576645731,7507658427,0.42374890373802343
1283,088790,진도,3330.0,12447744.0,41450987520.0,127376033638,29952051879,97423981759,736556441,0.42547006159672557
62,151860,KG ETS,14300.0,36000000.0,514800000000.0,2896462479170,1687577045489,1208885433681,90589009203,0.4258468053771298
163,000500,가온전선,27250.0,4160347.0,113369455750.0,669252338502,403445268643,265807069859,1787627347,0.4265103099407324
980,033160,엠케이전자,18700.0,21807689.0,407803784300.0,2030419439443,1079347783816,951071655627,41619905752,0.4287834485311759
686,081580,성우전자,2755.0,15508143.0,42724933965.0,122713356210,23584661500,99128694710,62117711,0.43100470645751326
1664,028080,휴맥스홀딩스,4345.0,12577506.0,54649263570.0,147282815091,20570778978,126712036113,3394171649,0.4312870761642924
294,006370,대구백화점,10300.0,10821611.0,111462593300.0,525362284179,267827958029,257534326150,4080144733,0.4328067445078331
751,139050,시티랩스,645.0,88760992.0,57250839840.0,267750542641,135484590666,132265951975,256667985,0.43284639005827563
463,004990,롯데지주,33600.0,104909237.0,3524950363200.0,15905845311121,7768305326418,8137539984703,0,0.43317149529541166
316,000430,대원강업,4070.0,62000000.0,252340000000.0,1031990296000,451697418036,580292877964,2502826419,0.43484938310005344
1651,032560,황금에스티,8750.0,16000000.0,140000000000.0,428834720266,108428242448,320406477818,6619022999,0.4369449736266693
1631,267250,현대중공업지주,61800.0,78993085.0,4881772653000.0,29672745851000,18516145015000,11156600836000,21816277000,0.4375681020376339
839,124500,아이티센,4780.0,19907333.0,95157051740.0,570293290312,353068429812,217224860500,5406715068,0.43805783334822307
305,128820,대성산업,4800.0,45235478.0,217130294400.0,1140400412564,644825663115,495574749449,5135153590,0.4381383325954646
1067,012620,원일특강,12550.0,4400000.0,55220000000.0,258967958432,133259798573,125708159859,4246074262,0.4392714049902351
759,004170,신세계,233500.0,9845181.0,2298849763500.0,13014916890693,7788899315513,5226017575180,16650217085,0.43988557834515524
514,009580,무림P&P,4290.0,62368324.0,267560109960.0,1430244881836,828080275438,602164606398,15205888769,0.44433051547230334
598,007160,사조산업,47300.0,5000000.0,236500000000.0,1102871200766,572553473758,530317727008,10811156799,0.4459590693569863
1258,000480,조선내화,88000.0,4000000.0,352000000000.0,1303920512936,519095798487,784824714449,19760174929,0.448507792274518
1635,057050,현대홈쇼핑,69400.0,12000000.0,832800000000.0,2622581376338,771948466495,1850632909843,30738373828,0.45000820831109684
1113,023410,유진기업,4895.0,77310863.0,378436674385.0,4881984541459,4041535980994,840448560465,12094231117,0.45027940100893277
696,011560,세보엠이씨,6570.0,10530000.0,69182100000.0,255850944938,102380187944,153470756994,2353491092,0.45078359783359057
1353,044820,코스맥스비티아이,16150.0,9603921.0,155103324150.0,957265521279,613989454488,343276066791,8726701807,0.4518326185682878
1530,000240,한국앤컴퍼니,17300.0,94935240.0,1642379652000.0,3935941154579,314326684668,3621614469911,51818157203,0.4534937845110722
738,094840,슈프리마에이치큐,7640.0,10471840.0,80004857600.0,187859756681,11872413057,175987343624,2113167105,0.45460574580256047
1514,071090,하이스틸,3135.0,19999440.0,62698244400.0,263509081434,126910582362,136598499072,8128691188,0.45899658360779094
652,075180,새론오토모티브,5450.0,19200000.0,104640000000.0,254057049346,27167229828,226889819518,3767871120,0.46119301528069895
1135,041520,이라이콤,7910.0,12188730.0,96412854300.0,257608272039,48779229580,208829042459,414346658,0.4616831699495486
1610,267270,현대건설기계,40700.0,19700793.0,801822275100.0,3712305110000,1977220672000,1735084438000,65543342000,0.4621229131789378
254,002350,넥센타이어,7490.0,97667877.0,731532398730.0,3609033590362,2028112887311,1580920703051,9600445461,0.46272554804186217
517,033920,무학,8550.0,28500000.0,243675000000.0,667749993880,142276860725,525473133155,9220287916,0.46372494543526477
625,005680,삼영전자,11650.0,20000000.0,233000000000.0,528344929708,27091800644,501253129064,6782093115,0.46483500349431345
657,007860,서연,17350.0,23479844.0,407375293400.0,2162710132634,1290847740731,871862391903,23827228098,0.4672472367007694
1200,019540,일지테크,3710.0,13513500.0,50135085000.0,341891309118,234744856867,107146452251,2262291378,0.467911759528483
1406,053620,태양,9000.0,8600000.0,77400000000.0,206714266684,41342253191,165372013493,25454207,0.46803566314004064
141,003570,SNT중공업,9180.0,33252697.0,305259758460.0,901148076397,250471921869,650676154528,3587577074,0.46914237802587866
1217,000950,전방,40250.0,1680000.0,67620000000.0,381812272696,239233397537,142578875159,1506327302,0.4742638060834191
621,002170,삼양통상,63400.0,3000000.0,190200000000.0,453744213685,53586231518,400157982167,16730905362,0.4753122728428365
1584,123840,한일진공,776.0,78305977.0,60765438152.0,148342018778,20702554668,127639464110,2068837738,0.4760709281859112
1101,089850,유비벨록스,13400.0,7115697.0,95350339800.0,363160035808,164133865935,199026169873,2312011047,0.47908443327248734
527,003650,미창석유,79700.0,1739672.0,138651858400.0,337829205608,49283075783,288546129825,10342609390,0.48051886360108453
91,000680,LS네트웍스,3260.0,78803016.0,256897832160.0,1232314106118,700618764061,531695342057,20869808211,0.4831673551363545
834,031310,아이즈비전,4560.0,16439898.0,74965934880.0,228937272991,73919587049,155017685942,4228109758,0.48359601309007133
1263,001630,종근당홀딩스,81500.0,5009861.0,408303671500.0,1279106019896,436351270328,842754749568,8053121420,0.4844869420306422
1519,036460,한국가스공사,43300.0,92313000.0,3997152900000.0,35492647816911,27245508393696,8247139423215,52566556146,0.4846714351340239
