Num,Name,Value,Weight,Share
254,미래에셋대우2우B,323.21653,0.00024796,5.63
255,아세아,305.539245,0.000234398,13.47
256,더블유게임즈,305.2659465,0.000234189,3.35
257,테스나,304.45674,0.000233568,8.71
258,NICE,302.719989,0.000232235,3.82
259,매일유업,301.758975,0.000231498,4.47
260,신세계푸드,291.751327,0.000223821,10.72
261,덕산네오룩스,291.689092,0.000223773,4.62
262,SPC삼립,291.6186,0.000223719,3.88
263,와이지-원,289.929816,0.000222423,12.48
264,세방전지,287.016786,0.000220189,5.5
265,테스,285.41575,0.00021896,5.78
266,아세아시멘트,285.04256,0.000218674,9.63
267,NICE평가정보,283.7721555,0.000217699,3.35
268,JW중외제약,282.983992,0.000217095,4.71
269,한국토지신탁,281.654541,0.000216075,5.31
270,현대리바트,279.4506105,0.000214384,10.19
271,영진약품,275.6390013,0.00021146,2.27
272,아이마켓코리아,274.764984,0.000210789,7.35
273,대원제약,271.98368,0.000208656,8
274,AK홀딩스,271.158124,0.000208022,5.92
275,원익QnC,269.012484,0.000206376,6.56
276,롯데제과,268.688875,0.000206128,2.8
277,이녹스첨단소재,268.49082,0.000205976,5.44
278,골프존,267.959679,0.000205569,6.2
279,풀무원,261.7444125,0.000200801,6.11
280,애경산업,257.82088,0.000197791,3.44
281,씨젠,254.707017,0.000195402,3.17
282,현대오토에버,253.483272,0.000194463,2.39
283,AP시스템,253.121904,0.000194186,5.2
284,유진테크,251.822835,0.000193189,6.66
285,삼양사,248.923664,0.000190965,4.78
286,동국제약,248.763636,0.000190842,3.14
287,진에어,248.478273,0.000190623,5.41
288,송원산업,248.053911,0.000190298,6.65
289,와이지엔터테인먼트,245.861731,0.000188616,4.94
290,아모레퍼시픽우,244.194312,0.000187337,2.59
291,유니테스트,243.5535095,0.000186845,8.03
292,농심홀딩스,242.984975,0.000186409,6.67
293,서울반도체,239.86755,0.000184017,2.53
294,삼화콘덴서,239.750522,0.000183928,4.41
295,아미코젠,235.9792715,0.000181034,4.83
296,E1,235.556202,0.00018071,7.11
297,CJ프레시웨이,234.7509375,0.000180092,6.9
298,삼양식품,233.454118,0.000179097,3.45
299,천보,229.434744,0.000176014,3.72
300,하나머티리얼즈,225.875662,0.000173283,6.07
301,테크윙,225.425196,0.000172938,8.39
302,미래에셋생명,223.7880194,0.000171682,3.06
303,한글과컴퓨터,220.1817,0.000168915,9.01
304,환인제약,219.8984595,0.000168698,7.65
305,한일시멘트,218.936138,0.00016796,5.66
306,JW생명과학,216.57042,0.000166145,6.91
307,인트론바이오,214.67779,0.000164693,4.62
308,삼진제약,213.1955045,0.000163556,6.15
309,와이솔,213.061604,0.000163453,5.01
310,한국자산신탁,212.0155968,0.00016265,5.57
311,제넥신,211.544375,0.000162289,1.42
312,효성중공업,211.2654765,0.000162075,8.5
313,남양유업,210.182085,0.000161244,6.64
314,국도화학,209.295338,0.000160564,7.66
315,티씨케이,208.00676,0.000159575,2.7
316,신세계 I&C,207.78675,0.000159406,11.24
317,지트리비앤티,207.711182,0.000159348,2.65
318,동국제강,204.7049305,0.000157042,3.61
319,남해화학,202.5880752,0.000155418,5
320,피에스케이,200.469492,0.000153793,5.75
321,한국철강,198.9639498,0.000152638,9.13
322,네패스,194.1308785,0.00014893,3.5
323,한화3우B,193.72925,0.000148622,6.27
324,에코마케팅,192.229814,0.000147472,3.69
325,유한양행,191.79677,0.000147139,0
326,해성디에스,191.517804,0.000146925,7.13
327,아주캐피탈,191.1875535,0.000146672,2.67
328,S&T중공업,191.0102276,0.000146536,8.69
329,고영,190.39585,0.000146065,1.32
330,사조산업,189.699594,0.00014553,10.17
331,다원시스,188.5330555,0.000144636,4.42
332,덴티움,186.992122,0.000143453,3.14
333,현대일렉트릭,185.426703,0.000142252,4.45
334,한국쉘석유,185.25988,0.000142124,4.41
335,고려제강,184.6082535,0.000141625,4.49
336,CJ제일제당 우,183.06223,0.000140438,12.65
337,두산솔루스,180.343328,0.000138353,2.9
338,슈피겐코리아,178.92279,0.000137263,5.64
339,애경유화,178.204204,0.000136712,6.78
340,코리아오토글라스,177.5426025,0.000136204,5.5
341,일진다이아,176.540026,0.000135435,4.45
342,큐리언트,176.045085,0.000135055,6.69
343,모두투어,175.67641,0.000134772,5.11
344,네오팜,174.294981,0.000133713,4.39
345,신도리코,174.03147,0.00013351,4.68
346,휴젤,172.490444,0.000132328,1
347,오스코텍,172.387059,0.000132249,2.45
348,삼천리,172.227055,0.000132126,5.03
349,한국콜마홀딩스,168.7941915,0.000129493,4.17
350,대신증권,168.049265,0.000128921,2.77
351,케이씨,165.177455,0.000126718,6.53
352,대교,164.008199,0.000125821,3.17
353,와이엠티,160.9570785,0.00012348,7.51
354,엔지켐생명과학,158.975872,0.00012196,2.87
355,세방,158.64618,0.000121707,7.14
356,HDC아이콘트롤스,158.512814,0.000121605,8.84
357,아세아제지,158.1153,0.0001213,5.88
358,아이티엠반도체,157.2963525,0.000120672,1.62
359,BGF,156.40744,0.00011999,2.92
360,아모텍,154.435583,0.000118477,5.35
361,스카이라이프,154.3132184,0.000118383,3.7
362,콜마비앤에이치,153.993075,0.000118138,1.88
363,레고켐바이오,153.620544,0.000117852,2.71
364,한화손해보험,152.4847425,0.000116981,4.62
365,CJ4우,152.478744,0.000116976,4.98
366,대상홀딩스,152.3506904,0.000116878,6.24
367,코텍,148.7008425,0.000114078,7.43
368,백산,148.0270925,0.000113561,6.8
369,지역난방공사,147.872098,0.000113442,2.7
370,동양,146.8555323,0.000112662,4.29
371,휴맥스,145.752828,0.000111816,11.72
372,세아제강지주,143.090172,0.000109773,7.29
373,텔레칩스,141.37,0.000108454,9.92
374,지투알,139.2142895,0.0001068,12.83
375,엔케이맥스,138.564,0.000106301,4.11
376,오스템임플란트,135.148923,0.000103681,2.24
377,S&T홀딩스,134.1339645,0.000102903,5.32
378,율촌화학,133.50246,0.000102418,3.85
379,노루페인트,133.463422,0.000102388,8.19
380,삼익THK,132.974164,0.000102013,5.46
381,덕산하이메탈,132.9229575,0.000101974,7.65
382,세아제강,132.642027,0.000101758,7.68
383,태광,130.229418,9.99071E-05,4.82
384,삼영무역,129.847509,9.96142E-05,4.64
385,HDC현대EP,129.293571,9.91892E-05,8.09
386,교보증권,128.4619834,9.85512E-05,3.87
387,아모그린텍,128.288952,9.84185E-05,6.03
388,평화정공,127.5023816,9.78151E-05,7.04
389,디오,124.68246,9.56517E-05,1.91
390,SBS미디어홀딩스,123.4473862,9.47042E-05,4.32
391,성광벤드,122.5306485,9.40009E-05,4.14
392,디와이,121.5161184,9.32226E-05,8.2
393,한독,120.464025,9.24155E-05,3.86
