,Code,Name,Min,Max,Mean,Std,Current,M/C,Cdf,C/M,Max/Current
519,027740,마니커,1815.0,4112.073405703024,3312.781285696037,427.9019225134277,1815.0,1.8252238488683399,0.00023237518137706926,0.5478780044540902,2.265605182205523
667,084670,동양고속,20750.0,31400.0,25278.947368421053,1826.765201297795,20750.0,1.2182625237793279,0.006583558335023703,0.8208411409535706,1.5132530120481928
98,007310,오뚜기,426111.3709466362,601000.0,542945.6932494271,31421.597346154846,472500.0,1.149091414284502,0.012482257689526096,0.8702527819535265,1.271957671957672
262,001630,종근당홀딩스,81500.0,139000.0,107667.40890688259,11735.942372644735,81500.0,1.3210725019249396,0.012884310722162283,0.7569607258821119,1.705521472392638
273,096760,JW홀딩스,3510.0,6631.507600935355,5082.778740138558,635.2615954881487,3785.0,1.3428741717671222,0.02053094888126535,0.7446714078088751,1.7520495643158138
213,001060,JW중외제약,18841.71039399114,40305.72068817692,30235.762056048414,3799.0359809663487,22800.0,1.3261299147389656,0.025157512149026708,0.7540739326409353,1.7677947670253036
438,214420,토니모리,6045.130906849598,12905.874713829697,9044.333914247522,1302.0541215738317,6580.0,1.3745188319525108,0.029202154537720487,0.7275273184722358,1.9613791358403794
905,950210,프레스티지바이오파마,22400.0,50000.0,30786.216216216217,4466.020473087865,22400.0,1.3743846525096526,0.030205445339741163,0.7275983460481612,2.232142857142857
119,051905,LG생활건강우,598000.0,864000.0,717360.3238866397,44082.714581161796,636000.0,1.1279250375576095,0.032473067045499925,0.8865837415626341,1.3584905660377358
321,234080,JW생명과학,10700.0,24800.0,18787.32251521298,1971.4621836868903,15250.0,1.2319555747680644,0.03638556546471632,0.8117175817709711,1.6262295081967213
256,002210,동성제약,6392.5895167880735,18678.347494365153,12265.147839705445,1978.181693554946,8730.0,1.4049424787749651,0.0369631416536431,0.7117729124910129,2.1395587049673717
272,008350,남선알미늄,2865.0,6900.0,4378.987854251012,872.7948671805565,2870.0,1.5257797401571471,0.04191218359090976,0.6554025942807481,2.4041811846689893
926,381970,케이카,23000.0,25850.0,24500.0,782.905598696668,23150.0,1.0583153347732182,0.04232271570424671,0.9448979591836735,1.1166306695464363
175,170900,동아에스티,66197.81270979768,118996.06816413783,88570.22928162344,9046.255655545572,73200.0,1.2099758098582438,0.044652917543229025,0.8264628035143581,1.6256293465046152
500,000520,삼일제약,4849.569887842339,12448.244525877164,9596.268566045801,950.2779476737356,8000.0,1.199533570755725,0.04649897068850049,0.8336573684803037,1.5560305657346456
398,003120,일성신약,76000.0,98300.0,83330.36437246963,3952.893138849852,76700.0,1.0864454285850016,0.046737547778439976,0.9204327927472721,1.2816166883963493
912,383800,LX홀딩스,8710.0,12250.0,10204.594594594595,851.9728802595706,8810.0,1.158296775776912,0.05082566005366338,0.863336599835792,1.3904653802497162
18,018260,삼성에스디에스,137000.0,219500.0,179786.43724696356,14670.74189008816,157000.0,1.1451365429742901,0.06018897534757574,0.8732583080465465,1.3980891719745223
909,361610,SK아이이테크놀로지,138000.0,235500.0,189311.47540983607,30075.684686726974,145500.0,1.3011097966311758,0.07259856949404002,0.7685746449601663,1.6185567010309279
202,034310,NICE,13200.0,22700.0,19156.376518218625,1516.8374901540167,16950.0,1.1301697060895943,0.07289141210175513,0.8848228674081314,1.3392330383480826
475,143210,핸즈코퍼레이션,4900.0,9580.0,6707.530364372469,802.7346605084468,5540.0,1.2107455531358247,0.07291201194774202,0.8259373717376085,1.7292418772563176
742,009310,참엔지니어링,934.937924920947,1780.0,1400.1363949523,172.7141503565704,1150.0,1.2175099086541739,0.07377104228622089,0.821348551573919,1.5478260869565217
11,051900,LG생활건강,1066000.0,1770000.0,1441473.6842105263,148311.81968339087,1229000.0,1.172883388291722,0.07598399775431688,0.8525996786913976,1.4401952807160292
911,380440,엔에이치스팩19호,2085.0,2470.0,2186.782608695652,60.7056144414498,2100.0,1.0413250517598343,0.0764209842157771,0.9603149355813585,1.1761904761904762
736,021050,서원,1150.0,4425.0,2850.769230769231,552.8865020624902,2070.0,1.3771832032701599,0.07895008911130713,0.7261198057204533,2.13768115942029
145,042670,현대두산인프라코어,6635.5611790236935,48895.825887240884,19373.812598703305,8010.41943009279,8100.0,2.391828715889297,0.07965536211337015,0.41809013887860846,6.036521714474183
682,033250,체시스,825.0,3435.0,1810.9691295546559,350.9677744975341,1320.0,1.3719463102686786,0.08092135392442945,0.7288914970762685,2.602272727272727
580,015590,큐로,357.6073237628289,835.7430529297145,606.7906489321189,72.79121809022882,506.0,1.1991910057947013,0.08307915049540832,0.8338955138654515,1.6516661125093173
516,123690,한국화장품,7800.0,16850.0,12390.425101214574,1778.3280720107043,9930.0,1.247776948762797,0.08324648129603174,0.8014252875816673,1.6968781470292045
889,326030,SK바이오팜,91400.0,217000.0,139632.73273273272,30286.748723370256,98500.0,1.4175911952561697,0.08721441001414698,0.7054219886144907,2.203045685279188
382,002795,아모레G우,16100.0,37200.0,23418.11740890688,4190.032204727516,17850.0,1.3119393506390409,0.09194112719381575,0.7622303573049346,2.0840336134453783
396,004710,한솔테크닉스,3695.0,11650.0,8513.765182186235,1490.2988841911433,6540.0,1.301798957520831,0.09268363169069171,0.768167768319939,1.7813455657492354
204,003230,삼양식품,71000.0,137000.0,97895.14170040486,13219.465052259593,80500.0,1.2160887167752157,0.09410827824165402,0.8223084271777205,1.7018633540372672
714,006570,대림통상,2400.0,5290.0,4080.3947368421054,282.1526855878097,3710.0,1.0998368562916727,0.09463431913134296,0.9092257586017863,1.4258760107816713
482,000215,DL우,37000.0,127559.50809998132,71221.92954812804,23921.93047201602,39900.0,1.7850107656172443,0.09520968003445879,0.5602207108561651,3.1969801528817374
71,000210,DL,44947.613853941926,161745.50307684467,109930.98779211316,35331.328936283586,63900.0,1.7203597463554485,0.0963150862135082,0.5812737726039464,2.531228530154064
166,003000,부광약품,10912.42083491239,37910.25045801229,21754.23468786108,6504.181379883099,13300.0,1.6356567434482014,0.09683213446395161,0.6113752191623378,2.8503947712791198
494,078000,텔코웨어,10450.0,15200.0,12330.364372469636,911.5214021391483,11150.0,1.105862275557815,0.0976706821900275,0.9042717362752823,1.3632286995515694
815,18064K,한진칼우,18200.0,79400.0,47087.24696356275,8450.869784426184,36300.0,1.2971693378391942,0.10089543978004817,0.7709093722996764,2.18732782369146
535,152550,한국ANKOR유전,1550.0,1805.0,1679.2307692307693,70.17303580415329,1590.0,1.0561199806482826,0.1017608377345226,0.9468621163536417,1.1352201257861636
836,008355,남선알미우,19900.0,104000.0,44082.89473684211,16354.265930292153,23300.0,1.8919697311949402,0.10190106201787003,0.5285496821180192,4.463519313304721
184,018250,애경산업,18800.0,32950.0,25178.947368421053,2679.4201230876915,21800.0,1.1549975857073878,0.10364107229256869,0.8658026755852842,1.511467889908257
916,323410,카카오뱅크,55300.0,92000.0,70080.0,10263.755548828201,57200.0,1.2251748251748251,0.10475729921615679,0.8162100456621005,1.6083916083916083
913,38380K,LX홀딩스1우,13300.0,27900.0,17148.64864864865,2930.9125127250313,13500.0,1.2702702702702704,0.1065870362050067,0.7872340425531914,2.066666666666667
918,259960,크래프톤,405515.0627970172,508946.9754248385,477800.3348780871,21721.464167581566,451000.0,1.059424245849417,0.10863535323162232,0.9439089240384788,1.1284855330927683
923,271940,일진하이솔루스,59600.0,91600.0,74690.69767441861,7080.819630842059,66000.0,1.131677237491191,0.1098441106139893,0.8836441759815674,1.387878787878788
